mes,ano,IPCA_regional,regiao
1,2016,1.06,NT
2,2016,1.11,NT
3,2016,0.53,NT
4,2016,0.9,NT
5,2016,0.6,NT
6,2016,0.52,NT
7,2016,0.73,NT
8,2016,0.24,NT
9,2016,0.31,NT
10,2016,0.51,NT
11,2016,-0.14,NT
12,2016,0.2,NT
1,2017,0.37,NT
2,2017,0.35,NT
3,2017,0.13,NT
4,2017,0.09,NT
5,2017,-0.13,NT
6,2017,-0.08,NT
7,2017,0.1,NT
8,2017,-0.22,NT
9,2017,0.33,NT
10,2017,0.31,NT
11,2017,0.05,NT
12,2017,-0.18,NT
1,2018,0.08,NT
2,2018,0.57,NT
3,2018,0.03,NT
1,2016,1.52,NE
2,2016,1.24,NE
3,2016,0.08,NE
4,2016,0.73,NE
5,2016,0.89,NE
6,2016,0.32,NE
7,2016,0.82,NE
8,2016,0.13,NE
9,2016,0.22,NE
10,2016,0.41,NE
11,2016,0.2,NE
12,2016,0.42,NE
1,2017,0.55,NE
2,2017,0.41,NE
3,2017,0.34,NE
4,2017,0.07,NE
5,2017,0.4,NE
6,2017,-0.12,NE
7,2017,0.26,NE
8,2017,-0.01,NE
9,2017,0.06,NE
10,2017,0.34,NE
11,2017,-0.07,NE
12,2017,0.3,NE
1,2018,0.25,NE
2,2018,0.34,NE
3,2018,-0.17,NE
1,2016,1.14,CO
2,2016,0.72,CO
3,2016,0.38,CO
4,2016,0.53,CO
5,2016,0.43,CO
6,2016,0.3,CO
7,2016,0.7,CO
8,2016,0.25,CO
9,2016,0.25,CO
10,2016,0.4,CO
11,2016,0.04,CO
12,2016,0.55,CO
1,2017,0.45,CO
2,2017,-0.14,CO
3,2017,0.14,CO
4,2017,0.23,CO
5,2017,0.24,CO
6,2017,-0.17,CO
7,2017,0.23,CO
8,2017,0.19,CO
9,2017,0.16,CO
10,2017,0.92,CO
11,2017,0.69,CO
12,2017,0.46,CO
1,2018,-0.01,CO
2,2018,0.14,CO
3,2018,-0.05,CO
1,2016,1.28,SD
2,2016,0.8,SD
3,2016,0.48,SD
4,2016,0.49,SD
5,2016,0.82,SD
6,2016,0.45,SD
7,2016,0.44,SD
8,2016,0.6,SD
9,2016,-0.02,SD
10,2016,0.22,SD
11,2016,0.19,SD
12,2016,0.31,SD
1,2017,0.36,SD
2,2017,0.37,SD
3,2017,0.25,SD
4,2017,0.16,SD
5,2017,0.3,SD
6,2017,-0.29,SD
7,2017,0.27,SD
8,2017,0.24,SD
9,2017,0.2,SD
10,2017,0.36,SD
11,2017,0.36,SD
12,2017,0.54,SD
1,2018,0.3,SD
2,2018,0.39,SD
3,2018,0.18,SD
1,2016,1.16,SU
2,2016,0.9,SU
3,2016,0.62,SU
4,2016,0.85,SU
5,2016,0.79,SU
6,2016,0.03,SU
7,2016,0.34,SU
8,2016,0.31,SU
9,2016,0.17,SU
10,2016,0.12,SU
11,2016,0.27,SU
12,2016,0.05,SU
1,2017,0.24,SU
2,2017,0.34,SU
3,2017,0.25,SU
4,2017,0.09,SU
5,2017,0.46,SU
6,2017,-0.21,SU
7,2017,0.17,SU
8,2017,0.34,SU
9,2017,0.1,SU
10,2017,0.51,SU
11,2017,0.21,SU
12,2017,0.42,SU
1,2018,0.48,SU
2,2018,0.09,SU
3,2018,0.11,SU
