cod_loja,cod_ap,cod_municipio,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18
1,4125506005002,4125506,,FEATURE_02_VALUE_04,True,21.76,FEATURE_05_VALUE_04,31,0.168921519796663,0.16765931392066,115.95884837,2.34982124574095,,,,,,,,
2,5300108005004,5300108,,FEATURE_02_VALUE_03,True,22.0,FEATURE_05_VALUE_03,27,0.215966958345941,0.19728680271075,1562.67481722,3.67088303606042,,,,,,,,
3,3550308005052,3550308,,FEATURE_02_VALUE_03,True,45.66,FEATURE_05_VALUE_03,6,0.190102227825834,0.179139940969186,5593.905463,2.81588342075523,,,,,,,,
4,3145604003002,3145604,,FEATURE_02_VALUE_04,False,30.0,FEATURE_05_VALUE_03,3,0.141988296957545,0.14367699931977,12.82402161,7.218131947452,,,,,,,,
5,1600303005010,1600303,FEATURE_01_VALUE_10,FEATURE_02_VALUE_02,False,62.49,FEATURE_05_VALUE_03,30,0.10761919863155,0.103082547352587,325.53112019,1.97294435639267,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,88.1,100.0,100.0,88.5,93.8
6,1100304003003,1100304,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,False,48.96,FEATURE_05_VALUE_03,5,0.226958245458038,0.229355030992275,46.8979348,2.17862550516879,,,96.9,56.6,0.0,100.0,73.2,79.0
7,1100106003001,1100106,,FEATURE_02_VALUE_04,False,39.54,FEATURE_05_VALUE_03,3,0.226480453072209,0.234005576957112,13.92264414,2.14445016297821,,,100.0,87.8,100.0,100.0,69.2,86.7
8,2706703003002,2706703,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,False,51.15,FEATURE_05_VALUE_03,9,0.243642559245008,0.239249427321375,18.36114691,1.56069544589069,,,83.7,94.4,100.0,100.0,94.3,92.9
9,2704302004017,2704302,,FEATURE_02_VALUE_03,False,61.0,FEATURE_05_VALUE_06,9,0.188255442763925,0.191179357271122,461.35374554,3.45244941421798,,,100.0,89.9,100.0,100.0,86.6,93.7
11,2933307005002,2933307,,FEATURE_02_VALUE_02,False,26.43,FEATURE_05_VALUE_03,2,0.134654243381425,0.131481348728959,116.19405798,2.91349823733357,,,,,,,,
12,2928109003001,2928109,FEATURE_01_VALUE_08,FEATURE_02_VALUE_06,False,34.1,FEATURE_05_VALUE_03,6,0.178970162169971,0.171119781852493,9.46890176,2.39263069745185,,,,,,,,
14,2606002003002,2606002,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,False,26.85,FEATURE_05_VALUE_03,14,0.111534127087854,0.123611767484929,54.13831965,2.19059649942679,,,,,,,,
15,2601201003003,2601201,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,False,36.65,FEATURE_05_VALUE_03,6,0.113204658556093,0.13116639622362,30.2052081,2.75387263339071,,,96.9,78.1,100.0,100.0,93.8,93.3
